amount,rooted,emulator,new_beneficiary,unusual_location,late_night,high_frequency,typing_speed,hesitation_time,cancelled_attempts,rapid_retries,fraud
15805,0,1,0,1,0,1,69.04405401211223,2.528130061024033,5,0,1
870,1,1,1,0,0,0,54.157918981309095,3.5589055478040867,1,1,1
76830,1,0,1,1,1,1,81.111199120452,3.655810191689561,3,0,1
54896,1,0,0,0,0,0,58.79839222591068,4.536738050632026,2,0,0
6275,0,1,0,1,1,0,73.5920061448716,3.667857094980625,4,0,1
82396,0,1,1,1,1,1,64.8749447626991,1.3545633909462196,5,1,1
37204,0,0,1,1,1,1,86.33056308001244,0.9491697086707568,5,0,1
87508,1,0,1,1,1,0,91.81094392947777,4.5405083016425705,0,1,1
44141,1,0,0,0,1,0,71.02470704157811,3.8330749673322684,1,1,0
60273,1,1,1,1,1,0,27.27533369596975,3.1267108995030486,1,0,1
16033,1,0,0,0,0,0,65.7400888624829,4.741121673936921,1,0,0
41100,1,1,1,1,1,0,62.60265256259622,3.365527344303491,0,1,1
67231,0,0,1,0,1,1,68.22848492414998,3.176359068777659,2,1,1
64830,0,0,0,1,1,0,82.62051028794066,4.344479161594823,0,1,1
779,0,0,1,0,0,1,61.86364760457787,3.941230095837388,0,1,0
59745,1,1,0,0,1,0,68.25391576733432,1.4811013968277298,0,0,1
62965,0,1,1,1,0,1,74.74742348887393,2.4972203690217705,1,1,1
64935,1,0,1,0,0,0,77.19987714566486,3.2886197230348717,3,1,1
67979,0,1,0,0,0,1,75.15180845885489,1.1791840783950707,1,0,0
5321,0,0,1,1,1,0,57.344104469633464,3.1962487767008128,2,0,0
83114,1,1,1,0,1,0,85.60577608047682,3.6872654251520007,5,1,1
53717,0,0,1,1,0,1,73.10563518217688,1.3236928442442608,4,0,1
85315,0,0,1,1,0,1,42.12299799116041,1.3488414841443819,2,0,1
28703,0,1,1,0,0,0,54.11150628861828,4.966842997571962,2,0,0
71942,0,0,1,1,0,1,67.9707394214853,1.828844621109464,3,0,1
93026,0,1,1,1,1,1,75.67667055739203,0.1423998383152375,1,1,1
25668,0,0,1,0,0,0,82.11418075427432,0.8501039589545245,0,1,0
84488,0,1,1,0,1,1,95.3756200204684,3.7699337755624907,2,1,1
18441,1,0,0,0,0,1,68.54190623167823,3.3688960352877144,4,0,0
2757,0,0,1,1,0,0,70.78646363713182,4.174120918684147,1,0,0
59160,1,1,1,1,1,1,51.61248633251296,3.2911735371362822,2,0,1
65735,0,0,1,0,0,0,72.9780996538695,3.038404978830132,5,1,1
84664,1,1,0,0,0,0,75.31573533704528,3.5803929649363346,5,0,1
35783,1,0,0,0,1,1,83.3304131395582,4.505571767996793,2,0,0
67445,0,0,0,0,1,1,83.15661391707052,3.604313659000286,5,1,1
56896,1,0,0,0,1,1,74.23625222418752,0.5359789140114357,2,0,0
66813,1,0,0,0,0,1,75.39413003975517,3.978765977033691,1,1,1
31561,0,1,0,0,1,1,72.97452496530057,4.91522260431409,5,0,1
11404,1,1,1,0,1,0,68.21734270915098,0.014042995445219253,0,0,1
69102,0,1,0,0,1,1,75.25864741191924,2.458720395684259,1,0,1
3900,1,0,1,0,0,1,62.97084419338465,0.18164571990012035,4,1,1
41616,1,1,1,1,1,0,51.46237217549841,4.775763851774816,1,1,1
96286,1,1,1,1,0,1,58.23897168314174,4.792493813149051,0,1,1
80048,1,0,0,1,1,1,72.57729919241974,3.149883561657105,0,1,1
87323,0,1,1,0,0,0,77.34396109858365,2.531883538492008,3,0,1
10637,0,0,1,0,0,1,84.51647336746139,0.1680010085098288,4,1,0
8802,0,0,0,1,1,0,104.14473231773522,4.8321172793273846,5,0,0
73979,0,1,0,1,0,1,75.807671824829,4.855965657056423,0,1,1
43011,0,1,1,1,1,1,55.00947851027587,3.716145657391497,5,1,1
76562,1,1,0,0,0,1,62.757517444125575,0.14459033108599528,2,0,1
23907,0,1,0,0,0,0,88.08289187787233,3.980423667116038,2,1,0
68158,1,0,1,1,0,0,84.20727936066578,2.809754132671234,5,1,1
23493,0,1,1,0,0,0,74.81614134399251,4.857872750877469,5,0,0
48565,0,0,1,1,0,1,54.003890602865376,3.4104395600814987,4,1,1
17169,0,1,1,1,0,0,80.95253753814153,4.779544258025533,4,0,1
80087,0,0,1,1,1,0,69.57449121516301,0.5210539017812665,5,1,1
35930,1,1,1,0,1,1,73.84298325446632,3.7792298291511677,0,0,1
92077,0,1,1,1,1,1,101.22747568167942,4.41362179587736,5,0,1
67131,1,0,1,0,0,0,65.2647078525839,3.1797763784833255,4,1,1
69489,1,1,0,1,0,1,43.20058664490175,2.7063343558449042,3,0,1
89485,0,1,0,1,1,1,81.9766993694223,3.875385527191307,3,1,1
19467,1,1,0,0,0,0,53.02084884651234,4.274755964438035,0,0,0
66567,1,1,0,0,1,1,45.62143403577983,3.116592438687342,2,0,1
77199,0,0,0,1,1,1,81.25861749115873,3.6752356900713496,1,0,1
78963,1,0,1,0,1,1,71.02414334568682,1.9995269560525508,2,0,1
53005,0,1,0,1,0,0,60.26208865959738,1.7399645038045124,0,1,1
40767,0,0,0,1,1,1,75.29982106825354,1.0201765843971033,4,0,0
9702,1,1,1,0,0,1,85.40882769488069,3.1255940997415754,1,1,1
45768,1,0,0,1,1,0,94.37319143137049,4.089270565671944,5,0,0
72419,1,0,1,1,0,1,79.85016986090025,3.317479440042843,0,0,1
71221,1,0,0,1,0,1,56.49799325820096,1.962105934642469,5,1,1
65707,1,1,0,1,1,1,46.52489970292234,4.936139163505942,1,1,1
37075,1,0,1,1,0,0,81.80292299008909,0.030864049794055992,3,0,0
92103,1,0,0,1,0,1,61.15647931832255,1.549449492231652,0,1,1
99309,0,1,0,1,1,0,54.80422649154523,4.8409138672185525,3,0,1
32616,0,0,0,0,1,1,74.70322648577422,1.9269071455439257,1,1,0
11544,0,1,1,0,1,1,65.01418650470636,3.1007542671836146,0,1,1
94673,1,0,1,1,0,0,69.2369469024293,1.1984361766958362,3,0,1
40407,1,1,1,1,1,0,67.30279000702302,3.4500525440449445,0,1,1
91397,1,0,1,0,0,0,90.93561258850647,3.2436371440619007,5,1,1
1026,0,1,1,1,1,0,83.83768083505402,3.085641680932903,1,1,1
89799,0,0,0,0,1,0,58.48587168190933,1.8801625613038742,1,0,0
55601,0,0,0,0,1,1,68.78472820212144,4.781655107771419,2,1,1
89822,1,1,1,0,1,1,75.90581393320082,3.2180471625731757,5,1,1
